Age,Gender,Marital_Status,Education,Employment_Type,Annual_Income,Loan_Amount,Loan_Term,Credit_Score,Existing_Loans,DTI_Ratio,Savings_Amount,Collateral_Value,Loan_Status
46,Female,Single,Graduate,Salaried,1213043.0,413067.0,60,635.0,2,0.09,316039,259918,Approved
37,Female,Single,Not Graduate,Salaried,825770.0,338832.0,36,519.0,0,0.16,404956,411643,Approved
42,Female,Single,Not Graduate,Self-Employed,665878.0,313764.0,48,544.0,0,0.15,223264,0,Approved
57,Female,Married,Graduate,Salaried,2799785.0,74835.0,36,626.0,2,0.02,244824,0,Rejected
17,Male,Single,Not Graduate,Self-Employed,4903.0,50000.0,48,620.0,1,1.0,704,297656,Rejected
51,Female,Single,Not Graduate,Salaried,720707.0,322515.0,60,700.0,1,0.12,35728,0,Rejected
18,Female,Married,Not Graduate,Student,34183.0,50000.0,48,422.0,0,0.46,15957,0,Rejected
32,Male,Married,Not Graduate,Salaried,948202.0,662120.0,12,380.0,0,0.51,136087,337686,Rejected
39,Female,Married,Graduate,Self-Employed,1337262.0,497894.0,36,670.0,1,0.15,173324,0,Approved
24,Female,Married,Not Graduate,Part-Time,189377.0,82950.0,24,579.0,2,0.25,7464,0,Rejected
36,Female,Married,Not Graduate,Self-Employed,1880272.0,902765.0,12,395.0,0,0.51,294437,0,Rejected
26,Male,Single,Not Graduate,Salaried,309370.0,114773.0,24,610.0,2,0.21,110388,0,Approved
46,Male,Married,Graduate,Self-Employed,1004687.0,176528.0,48,565.0,0,0.06,34737,0,Rejected
57,Male,Married,Not Graduate,Salaried,520902.0,104113.0,48,533.0,0,0.06,48143,0,Rejected
56,Female,Married,Graduate,Salaried,874253.0,523194.0,48,656.0,3,0.19,47066,0,Rejected
34,Female,Single,Graduate,Salaried,1349144.0,105707.0,36,677.0,3,0.03,485440,0,Approved
59,Female,Married,Graduate,Self-Employed,,,12,,3,0.38,155003,0,Approved
36,Male,Married,Not Graduate,Salaried,590863.0,331798.0,24,594.0,2,0.32,295362,0,Approved
23,Male,Married,Graduate,Salaried,653023.0,224721.0,12,383.0,0,0.37,31625,293733,Approved
20,Male,Single,Graduate,Student,24884.0,50000.0,36,635.0,1,0.8,6458,0,Approved
20,Female,Single,Not Graduate,Student,16237.0,50000.0,60,682.0,1,0.82,3174,0,Rejected
25,Female,Single,Graduate,Salaried,377341.0,99223.0,12,594.0,2,0.28,161751,0,Approved
45,Female,Single,Graduate,Salaried,2799785.0,,60,,0,0.02,135586,0,Approved
40,Female,Married,Not Graduate,Salaried,1120707.0,523624.0,48,600.0,3,0.15,35520,0,Rejected
39,Female,Married,Graduate,Self-Employed,1723182.0,436142.0,60,595.0,2,0.07,340425,0,Approved
58,Female,Married,Not Graduate,Salaried,1001514.0,426390.0,12,598.0,3,0.45,267439,404729,Rejected
44,Female,Married,Not Graduate,Self-Employed,1356810.0,555786.0,48,608.0,2,0.13,515593,0,Approved
40,Male,Single,Graduate,Self-Employed,1649146.0,188188.0,36,576.0,0,0.05,813392,0,Approved
51,Male,Married,Not Graduate,Self-Employed,354147.0,166620.0,12,626.0,2,0.5,126847,376597,Approved
57,Female,Single,Graduate,Salaried,1235829.0,701257.0,12,509.0,0,0.6,86546,0,Rejected
48,Female,Married,Not Graduate,Salaried,830810.0,343176.0,36,627.0,2,0.16,72320,372191,Approved
18,Male,Married,Graduate,Student,29365.0,50000.0,60,690.0,1,0.45,13789,0,Approved
47,Male,Single,Not Graduate,Self-Employed,868402.0,181964.0,12,652.0,3,0.22,29818,0,Rejected
19,Female,Single,Not Graduate,Student,7578.0,50000.0,24,630.0,1,1.0,1034,228148,Rejected
49,Male,Married,Graduate,Self-Employed,1869493.0,953999.0,24,560.0,2,0.2,397858,165588,Approved
49,Female,Single,Graduate,Salaried,991365.0,236124.0,60,617.0,1,0.06,52661,0,Approved
40,Male,Single,Graduate,Salaried,988958.0,463900.0,12,491.0,0,0.5,187163,0,Rejected
38,Female,Single,Not Graduate,Self-Employed,796909.0,212217.0,48,415.0,0,0.08,201587,366908,Approved
58,Female,Married,Graduate,Self-Employed,605445.0,671735.0,36,609.0,2,0.23,101669,0,Approved
49,Male,Married,Graduate,Self-Employed,469975.0,278775.0,12,623.0,1,0.48,71178,236791,Rejected
59,Female,Single,Not Graduate,Self-Employed,2799785.0,141397.0,36,635.0,3,0.08,33071,0,Rejected
33,Male,Single,Not Graduate,Salaried,1479871.0,1208881.0,60,518.0,0,0.16,461110,0,Approved
27,Female,Married,Not Graduate,Self-Employed,1552786.0,246595.0,12,682.0,1,0.17,633296,140420,Approved
46,Male,Married,Not Graduate,Self-Employed,1922212.0,195852.0,12,591.0,2,0.11,45919,245608,Approved
37,Male,Married,Graduate,Salaried,575198.0,181399.0,48,663.0,2,0.1,251881,0,Approved
34,Female,Married,Graduate,Self-Employed,762020.0,280047.0,12,683.0,1,0.27,327229,0,Approved
23,Male,Married,Graduate,Part-Time,150630.0,73265.0,24,551.0,0,0.27,48715,0,Rejected
55,Male,Married,Not Graduate,Salaried,922219.0,302839.0,36,659.0,1,0.13,414016,0,Approved
19,Male,Single,Not Graduate,Student,13189.0,50000.0,60,632.0,1,1.0,1220,0,Rejected
20,Male,Married,Graduate,Unemployed,14747.0,50000.0,48,659.0,1,1.0,909,485464,Approved
21,Female,Married,Graduate,Part-Time,182076.0,104409.0,24,624.0,1,0.32,8303,82499,Approved
22,Female,Single,Not Graduate,Part-Time,133687.0,76289.0,24,517.0,0,0.32,48830,0,Rejected
44,Female,Single,Not Graduate,Self-Employed,1543901.0,818829.0,60,553.0,3,0.14,582852,0,Approved
44,Male,Married,Not Graduate,Self-Employed,1902163.0,668621.0,12,576.0,0,0.37,542219,483756,Approved
52,Female,Single,Not Graduate,Salaried,940371.0,449745.0,36,570.0,0,0.19,206122,0,Approved
44,Male,Single,Not Graduate,Self-Employed,516455.0,118773.0,24,416.0,0,0.07,65149,0,Approved
48,Female,Married,Graduate,Self-Employed,1243863.0,574997.0,24,582.0,0,0.26,436173,0,Approved
24,Male,Married,Not Graduate,Part-Time,192099.0,76618.0,12,622.0,1,0.43,57137,0,Approved
31,Female,Single,Not Graduate,Self-Employed,1296930.0,732769.0,12,591.0,3,0.6,94304,203308,Rejected
50,Male,Single,Graduate,Self-Employed,1340165.0,534461.0,48,692.0,1,0.09,514962,379206,Rejected
43,Female,Married,Not Graduate,Salaried,930629.0,394908.0,36,614.0,2,0.17,277014,0,Approved
19,Male,Single,Graduate,Student,32326.0,50000.0,48,464.0,0,0.49,1375,184356,Rejected
53,Female,Single,Not Graduate,Salaried,998207.0,382112.0,48,667.0,2,0.12,18419,0,Rejected
23,Male,Married,Graduate,Salaried,474563.0,278649.0,60,638.0,2,0.16,121617,214140,Approved
43,Male,Single,Graduate,Salaried,481196.0,215283.0,12,692.0,1,0.48,168212,465247,Rejected
20,Male,Married,Not Graduate,Student,720.0,50000.0,12,553.0,3,1.0,322,0,Rejected
53,Female,Married,Graduate,Salaried,528633.0,176370.0,24,652.0,2,0.19,233628,79952,Approved
51,Male,Single,Graduate,Self-Employed,762262.0,273093.0,24,558.0,0,0.2,314785,405050,Approved
52,Male,Married,Graduate,Self-Employed,895482.0,174816.0,24,475.0,0,0.11,202865,0,Approved
50,Female,Single,Graduate,Self-Employed,1352316.0,633082.0,24,637.0,2,0.26,498684,0,Approved
17,Male,Single,Graduate,Student,1357.0,50000.0,36,556.0,3,1.0,306,72074,Rejected
37,Female,Married,Not Graduate,Self-Employed,386099.0,57148.0,12,699.0,1,0.16,37445,481688,Approved
43,Female,Married,Not Graduate,Self-Employed,653125.0,156516.0,60,660.0,2,0.06,81457,316767,Approved
58,Female,Married,Graduate,Self-Employed,548112.0,94322.0,12,662.0,1,0.18,18494,494121,Approved
52,Male,Single,Not Graduate,Salaried,902559.0,284096.0,36,663.0,1,0.13,9108,0,Rejected
19,Female,Single,Not Graduate,Unemployed,27918.0,50000.0,12,582.0,2,1.0,8248,0,Rejected
58,Female,Single,Graduate,Self-Employed,1470917.0,293535.0,24,604.0,1,0.11,94434,0,Approved
42,Male,Single,Graduate,Salaried,324574.0,166088.0,24,666.0,1,0.29,32907,0,Rejected
22,Female,Single,Graduate,Salaried,965785.0,388000.0,60,609.0,1,0.11,294262,0,Approved
26,Female,Single,Not Graduate,Self-Employed,886374.0,643400.0,48,641.0,1,0.15,118416,0,Approved
38,Female,Married,Graduate,Self-Employed,1723433.0,924413.0,36,637.0,1,0.21,760917,386547,Approved
52,Male,Married,Not Graduate,Salaried,304529.0,110639.0,24,679.0,2,0.21,5494,0,Rejected
17,Female,Single,Graduate,Student,24266.0,50000.0,48,512.0,0,0.65,1588,236398,Rejected
44,Male,Married,Graduate,Salaried,786451.0,435026.0,36,355.0,0,0.22,33765,0,Rejected
40,Male,Single,Graduate,Self-Employed,1609450.0,777319.0,12,696.0,1,0.51,586925,159810,Rejected
60,Male,Single,Not Graduate,Self-Employed,859304.0,506102.0,36,506.0,0,0.23,372906,0,Approved
43,Male,Single,Not Graduate,Salaried,,,12,,3,0.24,514496,0,Approved
55,Female,Married,Graduate,Salaried,1407821.0,618795.0,60,527.0,0,0.12,400070,0,Approved
25,Male,Married,Graduate,Part-Time,157700.0,59014.0,60,547.0,0,0.1,11398,0,Rejected
21,Male,Married,Not Graduate,Salaried,266282.0,152090.0,36,610.0,3,0.23,5378,0,Rejected
18,Male,Single,Graduate,Student,,,24,,3,1.0,1050,0,Rejected
29,Female,Married,Not Graduate,Self-Employed,1728448.0,921915.0,36,678.0,3,0.21,733394,0,Rejected
53,Male,Single,Not Graduate,Self-Employed,1359583.0,717908.0,60,465.0,0,0.14,604658,380628,Approved
36,Male,Married,Graduate,Salaried,674540.0,50946.0,60,641.0,1,0.02,44188,0,Rejected
54,Female,Married,Not Graduate,Salaried,449111.0,215297.0,24,461.0,0,0.27,138800,0,Approved
20,Female,Married,Not Graduate,Unemployed,25660.0,50000.0,12,641.0,2,1.0,7713,0,Rejected
25,Female,Single,Graduate,Salaried,377341.0,99223.0,12,594.0,2,0.28,161751,0,Approved
44,Male,Married,Not Graduate,Self-Employed,961522.0,327963.0,24,630.0,2,0.19,370217,0,Approved
21,Male,Single,Graduate,Part-Time,123211.0,50323.0,12,553.0,0,0.44,53838,0,Approved
21,Male,Married,Graduate,Salaried,1396611.0,385503.0,36,623.0,2,0.11,696896,0,Approved
60,Female,Married,Not Graduate,Self-Employed,769080.0,381498.0,36,583.0,2,0.2,156038,0,Approved
31,Male,Single,Graduate,Salaried,1309668.0,165078.0,48,610.0,3,0.04,323835,338889,Approved
57,Female,Married,Not Graduate,Salaried,576180.0,342104.0,60,645.0,3,0.16,113061,149155,Approved
36,Male,Married,Graduate,Self-Employed,2799785.0,342656.0,60,614.0,2,0.12,181004,0,Approved
23,Male,Single,Graduate,Part-Time,153014.0,73678.0,24,660.0,3,0.27,38856,0,Rejected
43,Female,Single,Not Graduate,Self-Employed,406058.0,69640.0,12,608.0,3,0.13,2773,0,Rejected
59,Female,Married,Not Graduate,Salaried,302848.0,119309.0,48,673.0,1,0.12,6851,0,Rejected
30,Female,Married,Graduate,Student,1011187.0,62659.0,24,441.0,0,0.04,474942,0,Approved
18,Female,Married,Graduate,Unemployed,17720.0,80213.0,60,679.0,2,0.75,317,0,Rejected
55,Female,Single,Graduate,Salaried,1056383.0,195772.0,12,603.0,2,0.2,216670,0,Approved
46,Female,Married,Not Graduate,Self-Employed,505668.0,86714.0,12,594.0,2,0.18,123424,0,Approved
60,Female,Married,Not Graduate,Self-Employed,1453293.0,305927.0,36,595.0,0,0.05,17986,0,Rejected
59,Female,Single,Graduate,Salaried,807524.0,439357.0,24,637.0,2,0.31,19461,0,Rejected
50,Male,Single,Not Graduate,Part-Time,582498.0,59440.0,12,693.0,1,0.11,262336,117453,Approved
50,Male,Single,Not Graduate,Self-Employed,1832785.0,714676.0,36,580.0,2,0.1,902406,0,Approved
37,Male,Single,Not Graduate,Salaried,729802.0,410292.0,12,636.0,2,0.6,214464,0,Rejected
32,Male,Married,Not Graduate,Salaried,543821.0,294757.0,60,643.0,3,0.14,114591,416632,Approved
57,Male,Married,Not Graduate,Salaried,544399.0,246177.0,12,666.0,2,0.48,28976,0,Rejected
59,Female,Married,Not Graduate,Self-Employed,1354206.0,811378.0,36,583.0,2,0.24,197216,0,Approved
17,Female,Married,Graduate,Unemployed,15729.0,50000.0,12,640.0,1,1.0,4864,288245,Rejected
43,Male,Married,Graduate,Salaried,1264580.0,566300.0,24,680.0,1,0.25,430931,242279,Approved
20,Male,Single,Graduate,Student,2088.0,50000.0,24,646.0,3,1.0,953,0,Rejected
27,Male,Married,Graduate,Salaried,405971.0,214954.0,60,653.0,3,0.1,6836,117903,Approved
17,Female,Married,Graduate,Unemployed,3808.0,50000.0,12,665.0,3,1.0,541,0,Rejected
25,Female,Married,Not Graduate,Salaried,1065622.0,151640.0,60,658.0,3,0.02,242351,0,Approved
49,Female,Married,Graduate,Self-Employed,707286.0,407260.0,12,623.0,1,0.61,312603,0,Rejected
46,Female,Single,Not Graduate,Salaried,978222.0,564590.0,48,486.0,0,0.18,223010,0,Approved
50,Male,Married,Graduate,Part-Time,1818025.0,745448.0,48,358.0,0,0.13,262269,0,Approved
29,Female,Married,Not Graduate,Self-Employed,1363467.0,489356.0,60,700.0,1,0.1,79310,0,Approved
48,Female,Married,Graduate,Part-Time,347333.0,132687.0,60,566.0,2,0.1,162830,0,Approved
19,Male,Married,Not Graduate,Student,9231.0,89546.0,36,640.0,1,1.0,3487,0,Rejected
49,Female,Married,Graduate,Self-Employed,701573.0,298749.0,60,648.0,3,0.11,74333,0,Approved
56,Female,Single,Graduate,Salaried,677769.0,282050.0,48,575.0,3,0.13,112025,171367,Approved
20,Female,Married,Graduate,Student,17847.0,50000.0,60,366.0,0,0.75,3808,0,Approved
50,Male,Single,Not Graduate,Self-Employed,1443302.0,406381.0,48,685.0,1,0.09,311107,0,Approved
24,Male,Married,Graduate,Salaried,592558.0,432406.0,36,562.0,0,0.16,74599,0,Approved
20,Female,Married,Graduate,Student,28887.0,50000.0,36,603.0,2,0.69,10426,0,Approved
27,Male,Married,Not Graduate,Part-Time,1215802.0,95898.0,24,594.0,2,0.03,257612,0,Approved
36,Male,Single,Not Graduate,Self-Employed,673124.0,360187.0,36,610.0,3,0.21,42738,0,Rejected
45,Female,Married,Not Graduate,Salaried,1403654.0,150448.0,36,650.0,1,0.04,617393,0,Approved
33,Female,Single,Not Graduate,Salaried,1305514.0,619875.0,24,559.0,2,0.27,222915,0,Approved
20,Male,Married,Graduate,Unemployed,16522.0,50000.0,36,470.0,0,1.0,1037,282650,Rejected
38,Female,Single,Graduate,Salaried,893712.0,162877.0,36,397.0,0,0.07,204669,0,Approved
25,Female,Married,Not Graduate,Part-Time,83566.0,50097.0,24,601.0,2,0.34,19077,0,Rejected
24,Male,Married,Graduate,Salaried,871401.0,368072.0,12,468.0,0,0.45,398046,490196,Rejected
31,Female,Married,Not Graduate,Salaried,824159.0,80122.0,48,552.0,2,0.03,209936,0,Approved
56,Female,Single,Not Graduate,Salaried,,,12,,0,0.6,29555,476069,Rejected
54,Male,Single,Not Graduate,Self-Employed,526884.0,446942.0,12,626.0,1,0.48,52657,0,Rejected
26,Female,Single,Graduate,Self-Employed,1131115.0,133585.0,24,442.0,0,0.07,490678,0,Approved
60,Male,Single,Not Graduate,Salaried,818822.0,78339.0,24,592.0,3,0.05,342597,0,Approved
48,Male,Married,Graduate,Salaried,692546.0,427506.0,12,449.0,0,0.36,18160,216976,Approved
55,Male,Married,Graduate,Self-Employed,1475930.0,860424.0,24,688.0,1,0.33,662190,0,Approved
29,Female,Single,Not Graduate,Salaried,662500.0,135223.0,24,587.0,2,0.12,95934,98569,Approved
33,Female,Single,Graduate,Salaried,816557.0,291000.0,60,606.0,3,0.1,21621,0,Rejected
22,Female,Married,Not Graduate,Part-Time,198898.0,65875.0,12,639.0,3,0.35,70269,0,Approved
37,Female,Single,Not Graduate,Self-Employed,493087.0,84723.0,60,675.0,3,0.05,89,0,Rejected
41,Female,Single,Not Graduate,Salaried,507655.0,293200.0,48,678.0,1,0.18,200374,0,Approved
53,Male,Married,Graduate,Salaried,1092402.0,132810.0,12,611.0,2,0.13,78913,116970,Approved
25,Male,Single,Graduate,Salaried,2799785.0,477480.0,12,606.0,2,0.55,86051,0,Rejected
36,Male,Married,Not Graduate,Salaried,1238244.0,241426.0,48,605.0,3,0.06,493328,222062,Approved
43,Female,Single,Not Graduate,Self-Employed,1695572.0,936943.0,12,649.0,2,0.59,139377,0,Rejected
59,Male,Married,Graduate,Part-Time,1062535.0,374003.0,60,637.0,2,0.09,159341,0,Approved
27,Male,Married,Not Graduate,Self-Employed,1782152.0,367176.0,36,567.0,0,0.08,289349,376633,Approved
47,Female,Single,Graduate,Salaried,1351630.0,434448.0,12,667.0,1,0.34,49213,0,Rejected
34,Female,Married,Not Graduate,Salaried,449375.0,90674.0,36,642.0,2,0.08,114803,0,Approved
45,Male,Single,Graduate,Salaried,1407988.0,805614.0,24,509.0,0,0.32,232866,0,Approved
41,Male,Married,Graduate,Salaried,880654.0,501394.0,36,593.0,2,0.23,342808,0,Approved
38,Male,Married,Graduate,Salaried,863323.0,370487.0,48,582.0,3,0.14,319573,148198,Approved
26,Male,Married,Graduate,Salaried,1124427.0,96289.0,24,638.0,3,0.05,379377,162471,Approved
18,Female,Single,Graduate,Student,37911.0,98138.0,24,618.0,1,0.75,11425,339353,Rejected
18,Female,Single,Not Graduate,Unemployed,82.0,50000.0,24,354.0,0,1.0,5,318808,Rejected
57,Male,Married,Graduate,Self-Employed,1328503.0,167278.0,36,561.0,3,0.05,484969,187049,Approved
48,Male,Single,Not Graduate,Self-Employed,421385.0,98386.0,36,561.0,0,0.09,106698,146994,Approved
18,Female,Single,Not Graduate,Unemployed,19152.0,83832.0,60,624.0,1,0.7,1351,0,Rejected
48,Male,Single,Not Graduate,Self-Employed,1906677.0,765330.0,24,635.0,3,0.23,868267,0,Rejected
43,Male,Single,Not Graduate,Salaried,1401286.0,259347.0,12,361.0,0,0.2,276358,0,Approved
24,Male,Married,Not Graduate,Part-Time,115243.0,68974.0,48,542.0,0,0.19,20838,297934,Approved
25,Male,Single,Graduate,Part-Time,,,24,,1,0.32,51106,315478,Approved
38,Male,Single,Graduate,Salaried,401359.0,133548.0,24,586.0,0,0.19,191625,0,Approved
30,Male,Married,Graduate,Salaried,1099354.0,343275.0,60,614.0,1,0.08,314486,189691,Approved
58,Female,Single,Graduate,Salaried,1413780.0,79577.0,60,652.0,1,0.02,328561,474396,Approved
27,Female,Single,Graduate,Salaried,853315.0,377310.0,60,365.0,0,0.12,23133,188212,Approved
17,Male,Single,Not Graduate,Unemployed,24244.0,50000.0,36,576.0,3,0.82,5714,0,Rejected
17,Male,Married,Graduate,Unemployed,27595.0,50000.0,36,490.0,0,0.72,1049,0,Rejected
45,Male,Married,Graduate,Salaried,1327961.0,436645.0,48,627.0,1,0.1,359702,0,Approved
56,Female,Single,Not Graduate,Salaried,1303437.0,403973.0,36,627.0,2,0.12,511631,0,Approved
17,Male,Single,Not Graduate,Unemployed,21598.0,50000.0,24,646.0,2,1.0,140,0,Rejected
21,Male,Single,Graduate,Salaried,577947.0,285869.0,24,611.0,3,0.28,104362,297478,Approved
19,Female,Single,Graduate,Student,23053.0,50000.0,24,556.0,0,1.0,2787,0,Rejected
21,Male,Single,Graduate,Student,467270.0,177348.0,60,602.0,1,0.1,7884,0,Rejected
32,Male,Single,Graduate,Salaried,688085.0,395091.0,12,635.0,2,0.61,205996,423795,Rejected
48,Female,Married,Graduate,Salaried,676802.0,398322.0,12,652.0,1,0.63,303501,0,Rejected
58,Female,Single,Not Graduate,Self-Employed,390301.0,227145.0,60,614.0,1,0.16,85526,450900,Approved
27,Female,Single,Graduate,Salaried,853315.0,377310.0,60,365.0,0,0.12,23133,188212,Approved
19,Male,Single,Graduate,Part-Time,22985.0,50000.0,48,576.0,2,0.69,647,0,Rejected
20,Female,Married,Not Graduate,Unemployed,13546.0,50000.0,24,648.0,2,1.0,3185,0,Rejected
55,Male,Married,Not Graduate,Self-Employed,938736.0,314097.0,36,609.0,2,0.13,154951,124420,Approved
21,Male,Married,Graduate,Part-Time,175776.0,52276.0,60,600.0,2,0.08,45873,0,Rejected
29,Male,Married,Not Graduate,Salaried,545210.0,87889.0,24,618.0,1,0.09,21319,373542,Approved
50,Male,Single,Graduate,Self-Employed,1617159.0,293669.0,12,577.0,0,0.14,620463,0,Approved
49,Female,Single,Not Graduate,Self-Employed,1741972.0,981004.0,12,615.0,2,0.6,51300,221035,Rejected
27,Female,Single,Graduate,Salaried,1322914.0,610678.0,24,612.0,2,0.26,114678,370036,Approved
40,Male,Married,Graduate,Salaried,617527.0,343330.0,48,562.0,3,0.18,193190,0,Approved
20,Male,Single,Not Graduate,Student,7631.0,50000.0,12,652.0,1,1.0,1385,0,Rejected
23,Female,Single,Graduate,Part-Time,97697.0,55139.0,12,662.0,2,0.6,14190,0,Rejected
51,Male,Married,Graduate,Self-Employed,949517.0,107608.0,60,610.0,2,0.03,187949,0,Approved
28,Male,Married,Graduate,Self-Employed,731259.0,395674.0,12,600.0,1,0.58,291332,0,Rejected
58,Female,Single,Graduate,Salaried,767227.0,528710.0,36,605.0,1,0.2,204490,266712,Approved
20,Female,Married,Not Graduate,Student,3260.0,50000.0,36,601.0,1,1.0,1413,0,Rejected
23,Male,Married,Not Graduate,Salaried,1019868.0,441385.0,12,396.0,0,0.46,370271,0,Rejected
56,Male,Married,Not Graduate,Salaried,1193704.0,65432.0,48,667.0,1,0.02,272584,304111,Approved
54,Female,Single,Graduate,Self-Employed,1101914.0,585269.0,12,576.0,3,0.57,93817,0,Rejected
43,Male,Married,Graduate,Self-Employed,611111.0,55716.0,12,603.0,2,0.1,171151,0,Approved
45,Female,Single,Graduate,Salaried,280456.0,123553.0,24,578.0,3,0.25,55403,0,Approved
56,Female,Single,Graduate,Salaried,970041.0,380482.0,36,486.0,0,0.16,161750,0,Approved
23,Female,Married,Not Graduate,Salaried,434713.0,132391.0,24,581.0,2,0.17,213585,0,Approved
51,Male,Married,Graduate,Salaried,675764.0,131635.0,60,566.0,2,0.05,258090,0,Approved
38,Female,Single,Graduate,Self-Employed,1126118.0,345962.0,48,642.0,3,0.1,489184,0,Approved
18,Male,Married,Not Graduate,Unemployed,17065.0,50000.0,36,586.0,2,1.0,5054,182403,Rejected
53,Female,Married,Graduate,Self-Employed,1625499.0,518134.0,36,677.0,3,0.13,803162,346770,Approved
19,Male,Married,Graduate,Unemployed,22866.0,98792.0,24,575.0,2,1.0,4805,301683,Rejected
21,Female,Married,Graduate,Part-Time,,,24,,2,0.32,13907,0,Rejected
59,Male,Single,Not Graduate,Salaried,962391.0,71552.0,48,536.0,0,0.02,450433,0,Approved
54,Female,Married,Not Graduate,Self-Employed,1474819.0,572316.0,36,615.0,1,0.15,369397,0,Approved
18,Male,Married,Graduate,Student,35673.0,50000.0,48,668.0,1,0.44,4561,0,Rejected
53,Female,Married,Graduate,Part-Time,1393868.0,120609.0,24,648.0,3,0.05,139641,0,Approved
22,Female,Married,Graduate,Part-Time,141513.0,78072.0,60,581.0,0,0.1,56145,0,Approved
38,Female,Single,Graduate,Self-Employed,392147.0,230450.0,60,502.0,0,0.16,58967,0,Approved
60,Female,Married,Graduate,Self-Employed,1068357.0,180143.0,48,658.0,3,0.05,86995,0,Approved
18,Female,Single,Graduate,Student,27019.0,50000.0,48,615.0,1,0.58,1215,0,Rejected
55,Male,Married,Not Graduate,Self-Employed,1628781.0,679635.0,12,640.0,2,0.44,443433,0,Approved
37,Male,Single,Not Graduate,Salaried,405773.0,149426.0,48,602.0,1,0.12,140256,0,Approved
18,Female,Single,Graduate,Student,32623.0,50000.0,12,645.0,3,1.0,9902,0,Rejected
17,Female,Married,Graduate,Student,29393.0,50000.0,60,456.0,0,0.45,11725,0,Rejected
41,Female,Single,Graduate,Self-Employed,894900.0,323135.0,36,675.0,3,0.14,228062,0,Approved
34,Female,Married,Graduate,Salaried,437937.0,192081.0,60,579.0,3,0.12,86601,219027,Approved
51,Female,Single,Not Graduate,Salaried,617320.0,294817.0,48,663.0,1,0.15,142131,0,Approved
56,Female,Single,Not Graduate,Salaried,1039203.0,538395.0,12,643.0,3,0.55,166299,0,Rejected
35,Female,Married,Not Graduate,Self-Employed,1835200.0,911926.0,12,696.0,1,0.53,819200,0,Rejected
21,Male,Single,Graduate,Salaried,1275020.0,506507.0,36,645.0,1,0.16,298754,0,Rejected
50,Female,Single,Graduate,Self-Employed,913567.0,848705.0,24,668.0,1,0.28,79522,0,Approved
35,Female,Single,Graduate,Part-Time,479234.0,188306.0,60,565.0,3,0.1,178655,0,Approved
57,Female,Married,Not Graduate,Salaried,1341753.0,325304.0,24,608.0,3,0.14,275666,0,Approved
46,Male,Married,Graduate,Self-Employed,1136061.0,86183.0,36,679.0,3,0.03,554033,0,Approved
18,Male,Single,Graduate,Unemployed,8021.0,50000.0,24,363.0,0,1.0,1161,0,Rejected
55,Female,Single,Not Graduate,Salaried,1095662.0,245535.0,24,691.0,1,0.09,194768,0,Approved
26,Male,Married,Not Graduate,Salaried,817361.0,397569.0,12,595.0,0,0.52,358149,0,Rejected
37,Female,Single,Graduate,Part-Time,1297656.0,783084.0,48,433.0,0,0.11,533225,0,Approved
18,Male,Married,Not Graduate,Unemployed,1442.0,50000.0,12,649.0,3,1.0,259,225344,Approved
53,Male,Single,Not Graduate,Self-Employed,1439983.0,727600.0,36,622.0,1,0.2,350277,411021,Approved
27,Female,Single,Graduate,Salaried,871099.0,483636.0,48,630.0,3,0.18,420657,0,Approved
40,Male,Single,Graduate,Self-Employed,322912.0,95550.0,12,660.0,3,0.32,5801,0,Rejected
38,Female,Married,Graduate,Self-Employed,342108.0,82496.0,12,634.0,1,0.26,37656,0,Rejected
31,Male,Single,Not Graduate,Salaried,538234.0,271282.0,24,653.0,3,0.28,209922,0,Approved
19,Male,Married,Graduate,Student,21451.0,50000.0,36,601.0,3,0.93,759,0,Rejected
60,Male,Single,Not Graduate,Salaried,518092.0,129599.0,12,629.0,1,0.27,825,0,Rejected
23,Female,Single,Graduate,Part-Time,171885.0,65060.0,24,663.0,2,0.21,20344,0,Rejected
52,Female,Single,Graduate,Self-Employed,638922.0,235185.0,24,556.0,0,0.21,60180,0,Approved
55,Female,Married,Graduate,Salaried,281374.0,70719.0,12,669.0,3,0.27,9108,0,Rejected
31,Female,Married,Graduate,Salaried,1246617.0,731139.0,12,368.0,0,0.63,330172,0,Rejected
17,Female,Married,Not Graduate,Unemployed,17931.0,50000.0,24,642.0,3,1.0,3448,252093,Rejected
18,Female,Single,Graduate,Unemployed,3344.0,50000.0,36,448.0,0,1.0,379,0,Approved
26,Female,Married,Not Graduate,Self-Employed,339855.0,51566.0,48,605.0,3,0.05,43932,0,Rejected
27,Male,Married,Not Graduate,Self-Employed,1085096.0,494452.0,12,519.0,0,0.49,148250,0,Rejected
18,Male,Single,Graduate,Unemployed,21998.0,50000.0,60,580.0,3,0.61,8039,0,Rejected
17,Female,Married,Not Graduate,Unemployed,13544.0,88763.0,48,538.0,0,1.0,3681,0,Approved
46,Female,Single,Graduate,Salaried,592711.0,188584.0,36,588.0,0,0.13,268091,0,Approved
46,Male,Married,Not Graduate,Salaried,1231823.0,350618.0,48,627.0,1,0.09,305815,0,Approved
58,Female,Married,Graduate,Salaried,1126714.0,479790.0,60,568.0,2,0.11,296382,0,Approved
17,Male,Single,Graduate,Student,12587.0,50000.0,60,650.0,1,1.0,1585,0,Rejected
19,Male,Married,Graduate,Student,17548.0,50000.0,48,655.0,3,0.9,2438,0,Approved
